Date,ABBV,BIIB,CI,CVS,HCA,MCK,MRNA,REGN,TEVA,VRTX,^GSPC
2018-12-03,68.57022094726562,332.19000244140625,204.4755401611328,62.86127853393555,137.40524291992188,120.58828735351562,,380.0425109863281,21.59000015258789,184.64999389648438,2790.3701171875
2018-12-04,66.29334259033203,322.7300109863281,198.10952758789062,62.37907409667969,133.49790954589844,118.58733367919922,,370.2983703613281,20.549999237060547,177.92999267578125,2700.06005859375
2018-12-06,66.13227081298828,326.70001220703125,194.88107299804688,60.529266357421875,132.29562377929688,119.86758422851562,,379.1287536621094,20.260000228881836,179.61000061035156,2695.949951171875
2018-12-07,63.66501235961914,316.7300109863281,187.4419403076172,58.568817138671875,127.60870361328125,118.48304748535156,18.600000381469727,370.32818603515625,19.40999984741211,172.2100067138672,2633.080078125
2018-12-10,64.14090728759766,319.44000244140625,187.41464233398438,57.97591018676758,125.974365234375,116.73812103271484,18.799999237060547,375.0562744140625,18.440000534057617,173.77999877929688,2637.719970703125
2018-12-11,64.5509033203125,319.7900085449219,187.287353515625,58.03125762939453,125.75830841064453,115.83721923828125,18.010000228881836,373.19879150390625,18.510000228881836,173.22999572753906,2636.780029296875
2018-12-12,64.8656997680664,322.6099853515625,188.8788604736328,58.89292526245117,126.76335906982422,116.95623779296875,18.68000030517578,375.4237365722656,18.989999771118164,175.4499969482422,2651.070068359375
2018-12-13,64.2141342163086,320.1400146484375,192.7530059814453,57.9996337890625,128.0406951904297,116.51050567626953,18.760000228881836,375.9700927734375,19.020000457763672,173.4199981689453,2650.5400390625
2018-12-14,62.676673889160156,314.54998779296875,186.76898193359375,56.8217887878418,119.03317260742188,110.63094329833984,18.31999969482422,378.61224365234375,18.459999084472656,170.05999755859375,2599.949951171875
2018-12-17,62.1788215637207,313.1000061035156,180.66668701171875,55.88107681274414,115.64242553710938,106.11695098876953,17.0,372.9802551269531,17.649999618530273,166.1699981689453,2545.93994140625
2018-12-18,61.19047164916992,294.75,174.66452026367188,54.98780822753906,117.69941711425781,103.5469970703125,17.0,366.52386474609375,17.010000228881836,163.42999267578125,2546.159912109375
2018-12-19,61.146522521972656,292.69000244140625,175.79220581054688,54.221004486083984,114.82527160644531,104.91259002685547,16.18000030517578,358.27960205078125,16.290000915527344,158.66000366210938,2506.9599609375
2018-12-20,62.500953674316406,292.3299865722656,163.51492309570312,52.55303955078125,112.57102966308594,104.182373046875,15.5,353.8395690917969,15.890000343322754,161.3000030517578,2467.419921875
2018-12-21,62.1715202331543,280.6000061035156,164.8790740966797,50.35541534423828,112.78706359863281,102.74092102050781,14.470000267028809,342.28759765625,15.100000381469727,156.5,2416.6201171875
2018-12-24,61.61509323120117,278.5,161.88705444335938,49.73882293701172,109.07694244384766,102.63661193847656,14.029999732971191,338.35418701171875,14.59000015258789,151.91000366210938,2351.10009765625
2018-12-26,65.18783569335938,295.1700134277344,170.63575744628906,51.70719909667969,113.92359161376953,105.05482482910156,13.520000457763672,360.8522033691406,15.819999694824219,161.83999633789062,2467.699951171875
2018-12-27,65.82479095458984,294.4100036621094,175.328369140625,51.57280349731445,114.94737243652344,105.32034301757812,14.649999618530273,362.3421325683594,15.640000343322754,162.3699951171875,2488.830078125
2018-12-28,66.71063232421875,293.5199890136719,173.3822021484375,51.53327560424805,115.06948852539062,104.35307312011719,14.149999618530273,360.1866760253906,15.6899995803833,161.4199981689453,2485.739990234375
2018-12-31,67.49401092529297,300.9200134277344,172.71832275390625,51.794132232666016,116.89165496826172,104.7608642578125,15.270000457763672,370.99365234375,15.420000076293945,165.7100067138672,2506.85009765625
2019-01-02,65.32697296142578,304.69000244140625,170.2174072265625,51.84158706665039,114.36503601074219,107.22647857666016,15.329999923706055,369.9407958984375,15.850000381469727,164.0800018310547,2510.030029296875
2019-01-03,63.174503326416016,307.0,168.76234436035156,51.56490707397461,112.1859130859375,107.10320281982422,15.5,369.58319091796875,16.489999771118164,163.72999572753906,2447.889892578125
